accuracy,iteration,time,solver,random_state,penalty,max_iter,class_weight,C
0.6012269938650306,13,11.82491683959961,lbfgs,42,None,10000,balanced,0.1964264645879854
0.6012269938650306,12,11.994220495223999,lbfgs,42,None,10000,balanced,171.08029875993253
0.6012269938650306,18,12.170600891113281,lbfgs,42,None,10000,balanced,0.6773295140086063
0.6012269938650306,15,12.289276361465454,lbfgs,42,None,10000,balanced,0.17298163592151014
0.6012269938650306,6,12.445777654647827,lbfgs,42,l2,10000,balanced,116.19836038697959
0.6012269938650306,7,12.505482196807861,lbfgs,42,None,10000,balanced,2.1379620895022304
0.6012269938650306,2,12.530273914337158,lbfgs,42,None,10000,balanced,4.277598314820376
0.6503067484662577,23,12.620650053024292,lbfgs,42,l2,10000,None,2.8106062003343975
0.6012269938650306,16,12.599490404129028,lbfgs,42,l2,10000,balanced,99.26588068710296
0.6012269938650306,10,12.24997353553772,lbfgs,42,None,10000,balanced,0.5039645636126429
0.6503067484662577,21,13.359747886657715,lbfgs,42,None,10000,None,0.09136923736814541
0.6503067484662577,22,13.439622640609741,lbfgs,42,None,10000,None,4.081313915969719
0.6503067484662577,9,13.544950723648071,lbfgs,42,None,10000,None,0.10318106352675918
0.6503067484662577,0,13.63622260093689,lbfgs,42,None,10000,None,0.5475200153037678
0.6503067484662577,8,13.761224508285522,lbfgs,42,None,10000,None,0.19696996148999235
0.6503067484662577,1,13.833670377731323,lbfgs,42,l2,10000,None,795.0601750844187
0.6503067484662577,11,14.373462915420532,lbfgs,42,None,10000,None,0.004385306977749856
0.656441717791411,14,16.597516298294067,lbfgs,42,l2,10000,balanced,0.8855233145028538
0.6012269938650306,25,11.32201337814331,lbfgs,42,None,10000,balanced,0.0022594357702209783
0.6012269938650306,26,11.24766755104065,lbfgs,42,None,10000,balanced,0.3865449465982836
0.5950920245398773,29,11.203792810440063,lbfgs,42,l2,10000,balanced,39.77406691050278
0.6012269938650306,27,11.613920450210571,lbfgs,42,None,10000,balanced,0.0015177491558612493
